Year,End of year population estimate,Annual population change,Births,Deaths,Natural change,Immigration,Emigration,Net migration,Administrative adjustment,Male population,Female population,Under age 16 population,Working age population,Over age 64 population,Dependency ratio,Old age dependency ratio,Young age dependency ratio,age 20 and over population,Entitled population (age 20 and over),Entitled for work population (age 20 and over),Registered population (age 20 and over),Licensed population (age 20 and over),Jersey or British population (age 20 and over),European population (age 20 and over),Rest of world population (age 20 and over),Male net migration,Female net migration,Under age 16 net migration,Working age net migration,Over age 64 net migration,age 20 and over net migration,Entitled net migration (age 20 and over),Entitled for work net migration (age 20 and over),Registered net migration (age 20 and over),Licensed net migration (age 20 and over),Jersey or British net migration (age 20 and over),European net migration (age 20 and over),Rest of world net migration (age 20 and over)
2000,88400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,88900,500,,,190,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,89300,400,,,90,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,89600,300,,,250,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,90100,500,,,220,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,91000,900,,,220,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,92300,1300,,,190,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,94000,1700,,,320,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,95400,1400,,,300,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,96200,800,,,250,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,97100,1000,,,270,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,97900,700,1070,740,330,,,400,,48260,49640,16310,66710,14880,46.8,22.3,24.5,,,,,,,,,240,160,70,320,0,,,,,,,,
2012,98560,660,1130,790,340,,,320,,48650,49910,16350,66800,15410,47.5,23.1,24.5,,,,,,,,,200,120,60,270,-10,,,,,,,,
2013,99300,740,1030,750,280,,,460,,49060,50240,16350,67040,15920,48.1,23.7,24.4,,,,,,,,,270,190,70,390,10,,,,,,,,
2014,100060,760,990,720,270,,,490,,49510,50550,16300,67370,16390,48.5,24.3,24.2,,,,,,,,,290,200,60,420,0,,,,,,,,
2015,101210,1150,1020,780,240,,,910,,50150,51060,16320,68080,16820,48.7,24.7,24,,,,,,,,,530,390,60,850,10,,,,,,,,
2016,102240,1030,1020,840,180,,,850,,50760,51490,16470,68530,17240,49.2,25.2,24,81470,66470,6830,6220,1950,63660,16300,1500,500,350,100,750,10,,,,,,,,
2017,102730,480,950,820,130,4390,4030,360,0,51020,51710,16550,68550,17630,49.9,25.7,24.1,81940,67390,6490,6060,2010,63880,16480,1590,190,160,140,220,0,160,-640,-30,660,170,-20,100,80
2018,103290,560,940,830,110,4580,4130,450,0,51300,51990,16570,68730,18000,50.3,26.2,24.1,82570,68460,5980,5980,2160,64120,16740,1720,250,200,40,440,-30,300,-620,-50,750,230,-10,190,120
2019,103280,-10,890,800,90,4330,4430,-100,0,51270,52010,16530,68350,18400,51.1,26.9,24.2,82670,68960,5820,5580,2310,64170,16650,1850,-110,10,100,-170,-30,-250,-740,-130,420,200,-200,-180,120
2020,103490,210,870,760,110,3960,3870,100,0,51310,52180,16380,68270,18830,51.6,27.6,24,82980,69480,5990,5120,2390,64580,16420,1980,-20,110,10,120,-40,50,-540,-20,470,140,220,-280,120
2021,103190,-300,900,820,80,3580,3950,-380,0,51230,51960,16240,67690,19260,52.5,28.5,24,82870,69810,5790,4720,2540,64280,16140,2450,-140,-230,-30,-280,-70,-360,-990,-120,550,200,-500,-330,470
2022,103300,110,840,940,-100,4270,4070,200,10,51330,51970,15960,67720,19620,52.5,29,23.6,83200,69720,5690,5040,2760,63920,15850,3440,110,100,-110,380,-60,270,-970,-70,970,340,-390,-330,980
2023,103650,350,800,920,-110,4220,3750,470,0,51530,52120,15730,67770,20150,52.9,29.7,23.2,83790,70010,5730,5080,2970,63890,15610,4300,270,200,10,480,-20,440,-760,-10,860,350,-150,-270,860
