STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,SECTOR,Institutional sector,ACCOUNTING_ENTRY,Accounting entry,TRANSACTION,Transaction,INSTR_ASSET,Instruments and assets,TABLE_IDENTIFIER,Table identifier,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1M(1.0),Financial indicators dashboard: Households and NPISH,I,A,Annual,AUS,Australia,LES1M_F2AS,Share of currency and deposits in financial assets of households and NPISH,PT_FAS_S1M,Percentage of household and NPISH financial assets,1995,,24.103951,,S1M,Households and non-profit institutions serving households (NPISH),A,Assets (or net acquisition of assets),LE,Closing balance sheet/positions/stocks,F2,Currency and deposits,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1M(1.0),Financial indicators dashboard: Households and NPISH,I,A,Annual,AUT,Austria,LES1M_F2AS,Share of currency and deposits in financial assets of households and NPISH,PT_FAS_S1M,Percentage of household and NPISH financial assets,1995,,52.808958,,S1M,Households and non-profit institutions serving households (NPISH),A,Assets (or net acquisition of assets),LE,Closing balance sheet/positions/stocks,F2,Currency and deposits,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1M(1.0),Financial indicators dashboard: Households and NPISH,I,A,Annual,BEL,Belgium,LES1M_F2AS,Share of currency and deposits in financial assets of households and NPISH,PT_FAS_S1M,Percentage of household and NPISH financial assets,1995,,27.334231,,S1M,Households and non-profit institutions serving households (NPISH),A,Assets (or net acquisition of assets),LE,Closing balance sheet/positions/stocks,F2,Currency and deposits,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1M(1.0),Financial indicators dashboard: Households and NPISH,I,A,Annual,CAN,Canada,LES1M_F2AS,Share of currency and deposits in financial assets of households and NPISH,PT_FAS_S1M,Percentage of household and NPISH financial assets,1995,,25.976531,,S1M,Households and non-profit institutions serving households (NPISH),A,Assets (or net acquisition of assets),LE,Closing balance sheet/positions/stocks,F2,Currency and deposits,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1M(1.0),Financial indicators dashboard: Households and NPISH,I,A,Annual,CZE,Czechia,LES1M_F2AS,Share of currency and deposits in financial assets of households and NPISH,PT_FAS_S1M,Percentage of household and NPISH financial assets,1995,,28.246963,,S1M,Households and non-profit institutions serving households (NPISH),A,Assets (or net acquisition of assets),LE,Closing balance sheet/positions/stocks,F2,Currency and deposits,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1M(1.0),Financial indicators dashboard: Households and NPISH,I,A,Annual,DNK,Denmark,LES1M_F2AS,Share of currency and deposits in financial assets of households and NPISH,PT_FAS_S1M,Percentage of household and NPISH financial assets,1995,,21.366,,S1M,Households and non-profit institutions serving households (NPISH),A,Assets (or net acquisition of assets),LE,Closing balance sheet/positions/stocks,F2,Currency and deposits,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1M(1.0),Financial indicators dashboard: Households and NPISH,I,A,Annual,EST,Estonia,LES1M_F2AS,Share of currency and deposits in financial assets of households and NPISH,PT_FAS_S1M,Percentage of household and NPISH financial assets,1995,,14.360587,,S1M,Households and non-profit institutions serving households (NPISH),A,Assets (or net acquisition of assets),LE,Closing balance sheet/positions/stocks,F2,Currency and deposits,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1M(1.0),Financial indicators dashboard: Households and NPISH,I,A,Annual,FIN,Finland,LES1M_F2AS,Share of currency and deposits in financial assets of households and NPISH,PT_FAS_S1M,Percentage of household and NPISH financial assets,1995,,55.751231,,S1M,Households and non-profit institutions serving households (NPISH),A,Assets (or net acquisition of assets),LE,Closing balance sheet/positions/stocks,F2,Currency and deposits,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1M(1.0),Financial indicators dashboard: Households and NPISH,I,A,Annual,FRA,France,LES1M_F2AS,Share of currency and deposits in financial assets of households and NPISH,PT_FAS_S1M,Percentage of household and NPISH financial assets,1995,,34.015108,,S1M,Households and non-profit institutions serving households (NPISH),A,Assets (or net acquisition of assets),LE,Closing balance sheet/positions/stocks,F2,Currency and deposits,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1M(1.0),Financial indicators dashboard: Households and NPISH,I,A,Annual,DEU,Germany,LES1M_F2AS,Share of currency and deposits in financial assets of households and NPISH,PT_FAS_S1M,Percentage of household and NPISH financial assets,1995,,44.195245,,S1M,Households and non-profit institutions serving households (NPISH),A,Assets (or net acquisition of assets),LE,Closing balance sheet/positions/stocks,F2,Currency and deposits,,,,,2,Two,A,Normal value,0,Units,,
